baseline,fold_id,role_fold,question_fold,n_test,selected,inner_auroc,outer_role_balanced_auroc
total_generated_tokens,0,0,0,2239,full_linear_C0.001,0.5060571532457264,0.45685897435897055
total_generated_tokens,1,0,1,2240,full_linear_C0.001,0.5193771331488773,0.45322159090908654
total_generated_tokens,2,0,2,2240,full_linear_C0.001,0.5323148067210575,0.3923863636363605
total_generated_tokens,3,0,3,2240,full_linear_C0.001,0.5087893621904028,0.4203579545454502
total_generated_tokens,4,1,0,2239,full_linear_C0.001,0.4792384595682178,0.5136188811188763
total_generated_tokens,5,1,1,2240,full_linear_C0.001,0.5003180653181191,0.4862443181818139
total_generated_tokens,6,1,2,2240,full_linear_C0.001,0.5197215787684545,0.45752840909090475
total_generated_tokens,7,1,3,2240,full_linear_C0.001,0.47899679449946175,0.47065340909090414
total_generated_tokens,8,2,0,2240,full_linear_C0.001,0.46372460724385306,0.5789759604390518
total_generated_tokens,9,2,1,2240,full_linear_C0.001,0.4704190314696503,0.49520534387148035
total_generated_tokens,10,2,2,2238,full_linear_C0.001,0.47799932012432084,0.5209142864685009
total_generated_tokens,11,2,3,2240,full_linear_C0.001,0.4639260122006741,0.5256213554767846
total_generated_tokens,12,3,0,2240,full_linear_C0.001,0.475264852090915,0.42408522727272435
total_generated_tokens,13,3,1,2240,full_linear_C0.001,0.48722685147744665,0.45871022727272204
total_generated_tokens,14,3,2,2240,full_linear_C0.001,0.4782483003108009,0.5704318181818138
total_generated_tokens,15,3,3,2240,full_linear_C0.001,0.47202108597830567,0.43761363636363204
total_generated_tokens,16,4,0,2240,full_linear_C0.001,0.4556168130936323,0.535188371827117
total_generated_tokens,17,4,1,2240,full_linear_C0.001,0.4595079029874833,0.5401777955636797
total_generated_tokens,18,4,2,2239,full_linear_C0.001,0.470741319444445,0.46267297958132897
total_generated_tokens,19,4,3,2240,full_linear_C0.001,0.45897674722608667,0.5577028427280983
reasoning_plus_answer_tokens,0,0,0,2239,full_linear_C0.01,0.526064618089966,0.4895920745920706
reasoning_plus_answer_tokens,1,0,1,2240,full_linear_C0.1,0.5393504973915947,0.542801136363632
reasoning_plus_answer_tokens,2,0,2,2240,full_linear_C0.01,0.5448185945998331,0.5334772727272671
reasoning_plus_answer_tokens,3,0,3,2240,full_linear_C10.0,0.5465773673318824,0.5299715909090874
reasoning_plus_answer_tokens,4,1,0,2239,full_linear_C1.0,0.5299933395746933,0.6065734265734185
reasoning_plus_answer_tokens,5,1,1,2240,full_linear_C10.0,0.5314500904544669,0.45010227272726777
reasoning_plus_answer_tokens,6,1,2,2240,full_linear_C0.001,0.5357874538655673,0.5272329545454483
reasoning_plus_answer_tokens,7,1,3,2240,full_linear_C10.0,0.5413626264718999,0.537443181818176
reasoning_plus_answer_tokens,8,2,0,2240,full_linear_C10.0,0.5285826304263663,0.5846186828264298
reasoning_plus_answer_tokens,9,2,1,2240,full_linear_C1.0,0.5406798090998187,0.5415672164417947
reasoning_plus_answer_tokens,10,2,2,2238,full_linear_C10.0,0.5236967633061326,0.49859215605183027
reasoning_plus_answer_tokens,11,2,3,2240,full_linear_C10.0,0.5384329559462068,0.4676739009261337
reasoning_plus_answer_tokens,12,3,0,2240,full_linear_C10.0,0.5347928829503007,0.5172386363636298
reasoning_plus_answer_tokens,13,3,1,2240,full_linear_C10.0,0.5481674960885663,0.5515511363636323
reasoning_plus_answer_tokens,14,3,2,2240,full_linear_C1.0,0.5276807133838324,0.5868068181818108
reasoning_plus_answer_tokens,15,3,3,2240,full_linear_C10.0,0.5359560929024003,0.4718124999999957
reasoning_plus_answer_tokens,16,4,0,2240,full_linear_C10.0,0.5008922323452758,0.5769781900297217
reasoning_plus_answer_tokens,17,4,1,2240,full_linear_C1.0,0.5194087308515262,0.5592973930939783
reasoning_plus_answer_tokens,18,4,2,2239,full_linear_C10.0,0.5115879346348039,0.5791267730496403
reasoning_plus_answer_tokens,19,4,3,2240,full_linear_C10.0,0.5145598331446565,0.5426369197347304
